"State/Union Territory","Major Crops"
"**Andhra Pradesh**","Rice, Maize, Groundnut, Cotton, Sugarcane, Tobacco, Turmeric, Chilli, Mango, Banana, Citrus fruits"
"**Arunachal Pradesh**","Rice, Maize, Millet, Pulses, Potato, Ginger, Pineapple, Oranges"
"**Assam**","Rice, Tea, Jute, Sugarcane, Pulses, Oilseeds, Banana, Arecanut, Pineapple"
"**Bihar**","Rice, Wheat, Maize, Gram, Lentil, Oilseeds, Sugarcane, Potato, Onion, Mango, Litchi"
"**Chhattisgarh**","Rice, Maize, Pulses, Oilseeds, Cotton, Sugarcane, Tendu leaves"
"**Goa**","Rice, Coconut, Cashew nut, Arecanut, Ragi, Pulses, Mango, Pineapple, Jackfruit"
"**Gujarat**","Cotton, Groundnut, Sesame, Bajra, Jowar, Wheat, Rice, Sugarcane, Tobacco, Cumin, Isabgol, Dates"
"**Haryana**","Wheat, Rice, Bajra, Maize, Cotton, Sugarcane, Barley, Pulses, Oilseeds"
"**Himachal Pradesh**","Wheat, Maize, Rice, Barley, Pulses, Apple, Pear, Plum, Peach, Apricot, Potato"
"**Jharkhand**","Rice, Maize, Pulses, Oilseeds, Wheat, Potato, Tomato, Brinjal, Mango, Litchi"
"**Karnataka**","Rice, Ragi, Jowar, Maize, Pulses, Groundnut, Sunflower, Cotton, Sugarcane, Coffee, Tea, Coconut, Arecanut, Pepper, Cardamom, Mango, Banana"
"**Kerala**","Rice, Coconut, Rubber, Tea, Coffee, Cardamom, Pepper, Clove, Nutmeg, Cashew nut, Banana, Tapioca"
"**Madhya Pradesh**","Wheat, Rice, Jowar, Maize, Gram, Lentil, Soybean, Groundnut, Cotton, Sugarcane, Orange, Guava, Vegetables"
"**Maharashtra**","Jowar, Bajra, Rice, Wheat, Cotton, Sugarcane, Groundnut, Soybean, Sunflower, Mango, Banana, Grapes, Orange, Onion, Tomato"
"**Manipur**","Rice, Maize, Pulses, Oilseeds, Potato, Ginger, Turmeric, Pineapple, Orange, Banana"
"**Meghalaya**","Rice, Maize, Millet, Pulses, Oilseeds, Potato, Ginger, Turmeric, Pineapple, Orange, Banana"
"**Mizoram**","Rice, Maize, Pulses, Oilseeds, Sugarcane, Potato, Ginger, Turmeric, Pineapple, Orange, Banana"
"**Nagaland**","Rice, Maize, Millet, Pulses, Oilseeds, Potato, Ginger, Pineapple, Orange, Banana"
"**Odisha**","Rice, Maize, Arhar, Moong, Groundnut, Sesame, Sugarcane, Jute, Cotton, Coconut, Mango, Banana, Vegetables"
"**Punjab**","Wheat, Rice, Maize, Barley, Cotton, Sugarcane, Kinnow, Orange, Vegetables"
"**Rajasthan**","Wheat, Barley, Bajra, Jowar, Maize, Gram, Moong, Mustard, Groundnut, Cotton, Sugarcane, Coriander, Cumin, Kinnow, Orange"
"**Sikkim**","Rice, Maize, Millet, Pulses, Potato, Ginger, Cardamom, Orange, Tea"
"**Tamil Nadu**","Rice, Maize, Jowar, Bajra, Ragi, Pulses, Cotton, Sugarcane, Groundnut, Sunflower, Coconut, Tea, Coffee, Pepper, Cardamom, Banana, Mango, Vegetables"
"**Telangana**","Rice, Maize, Cotton, Pulses, Groundnut, Sunflower, Sugarcane, Mango, Citrus, Vegetables"
"**Tripura**","Rice, Maize, Pulses, Oilseeds, Potato, Pineapple, Orange, Tea"
"**Uttar Pradesh**","Wheat, Rice, Maize, Barley, Sugarcane, Gram, Arhar, Oilseeds, Potato, Mango, Guava, Vegetables"
"**Uttarakhand**","Rice, Wheat, Maize, Barley, Pulses, Oilseeds, Potato, Apple, Pear, Peach, Tea"
"**West Bengal**","Rice, Wheat, Maize, Jute, Tea, Sugarcane, Potato, Pulses, Oilseeds, Mango, Banana, Vegetables"
"**Andaman & Nicobar**","Rice, Coconut, Arecanut, Pulses, Oilseeds, Banana, Pineapple, Pepper, Clove, Nutmeg"
"**Chandigarh**","Wheat, Rice, Maize, Vegetables, Fruits"
"**Dadra & Nagar Haveli and Daman & Diu**","Rice, Ragi, Pulses, Groundnut, Mango, Chiku, Vegetables"
"**Lakshadweep**","Coconut, Rice, Pulses, Banana, Breadfruit"
"**Delhi**","Wheat, Rice, Vegetables, Fruits"
"**Puducherry**","Rice, Pulses, Cotton, Sugarcane, Groundnut, Coconut, Banana, Mango, Vegetables"